"","Year","Growth.O","Popultion.O","GDP.O","X..1.90.O","Malnourished.O","Maternal.Mortality.O","Suicide.Mortality.O","Life.Expectancy.O","X..Male.O","X..Rural.O","Death.Rate.O","Birth.Rate.O","Natural.Increase.O","X..Crop.Production.O","Education.Budget.O","Homicide.O","Pop.p100k","ScaledPop.p100k"
"DEU 2000",2000,0.02912503,82211508,3.5057996553094e-21,0,3044.03040877368,7,14.5,77.9268293,0.486978833,0.25035,1020,930,-90,1.01290001,0.0904445985179794,1.6756575,1.507088277,2.66936209439853
"GBR 2000",2000,0.036723691,58892514,8.15694790843291e-21,200,3044.03040877368,10,8.6,77.7414634,0.487270088,0.21349,1030,1150,120,0.988199997,0.118479996,1.55286605,0.302245545,-0.788093233635684
"FRA 2000",2000,0.039236692,60912500,6.04250262756838e-21,0,3044.03040877368,10,20.2,79.0560976,0.485052959,0.24129,890,1330,440,1.02400002,0.096792795429567,1.78090038,0.195362201,-0.762452952009949
"ITA 2000",2000,0.037869551,56942108,6.21069839171357e-21,1200,3044.03040877368,4,7.5,79.7780488,0.483922385,0.32778,980,950,-30,1.1625,0.092210598,1.35115642,0.1387374,-0.837436122578941
"ESP 2000",2000,0.052459947,40567864,8.9622805281821e-21,500,3044.03040877368,5,8.6,78.9658537,0.490907169,0.23738,890,980,90,0.948099976,0.106530304,1.35457062,0.236640509,-0.297067330542442
"NLD 2000",2000,0.041956425,15925513,1.03360521704305e-19,63.2825370863025,3044.03040877368,13,9.6,77.9878049,0.495331337,0.23205,880,1300,420,0.965299988,0.110814896,1.13021396,0.916767956,1.16121713135014
"CHE 2000",2000,0.039764092,7184250,7.53001851315434e-19,0,3044.03040877368,7,20.2,79.6804878,0.48858249,0.26617,870,1090,220,1.22279999,0.144521599,0.96587737,0.960434283,2.58036263357926
"SWE 2000",2000,0.047663489,8872109,3.76359897293343e-19,0,3044.03040877368,5,15.1,79.6439024,0.494532655,0.15974,1050,1020,-30,0.915800018,0.129130201,1.08088122,0.247968099,-0.946174777689757
"BEL 2000",2000,0.037166794,10251250,2.19804912905986e-19,300,3044.03040877368,8,22,77.7219512,0.489671025,0.02871,1020,1140,120,0.969499969,0.114502117362463,2.06184645,0.390196317,-1.55619091671727
"AUT 2000",2000,0.033757221,8011566,3.83664842506355e-19,200,3044.03040877368,6,19.9,78.1268293,0.485347632,0.39787,960,980,20,1.00959999,0.110332203,1.01620021,0.411904489,0.206896381393171
"POL 2000",2000,0.045610259,38258629,3.07534623080788e-21,1248.20218834472,3044.03040877368,7,17,73.7487805,0.485471824,0.38284,960,990,30,1.01970001,0.115834398,2.21751349,3.680215514,-0.629476795168859
"DNK 2000",2000,0.037468626,5339616,1.07828591027343e-18,0,3044.03040877368,8,15.6,76.5926829,0.494813705,0.149,1090,1260,170,0.917200012,0.153441496,1.08589993,0.580566093,1.49326701027138
"GRC 2000",2000,0.039197709,10805808,1.03394673484189e-19,500,3044.03040877368,13.3988095238095,3.5,77.8878049,0.497047808,0.27284,970,960,-10,1.10360001,0.069577699,1.18346275314733,1.378888095,-0.459650088653665
"FIN 2000",2000,0.057733625,5176209,9.0866226101077e-19,0,3044.03040877368,6,24.3,77.4658537,0.488165178,0.17817,950,1100,150,1.08699997,0.121709204,2.85276293,0.193191581,0.49242412247454
"PRT 2000",2000,0.038161781,10289898,1.08860542645764e-19,449.141509629693,3044.03040877368,10,7.6,76.3146341,0.482244108,0.45601,1020,1170,150,0.860800018,0.12052,1.12652891,0.942672124,NA
"IRL 2000",2000,0.09399418,3805174,1.81876732769529e-18,200,3044.03040877368,7,12.7,76.5365854,0.497072106,0.40845,820,1440,620,0.969700012,0.135181999,0.97803518,0.131400036,NA
"CZE 2000",2000,0.040010286,10255063,5.7328604418601e-20,29.1462453032754,3044.03040877368,7,16.3,74.9682927,0.48647459,0.26012,1060,890,-170,0.922600021,0.089121399,1.85628397,9.605011692,-0.694862845245538
"HUN 2000",2000,0.044791938,10210971,4.43516920121415e-20,73.1192639072205,3044.03040877368,16,33.4,71.2463415,0.475756247,0.35425,1330,960,-370,0.755500031,0.103236103,2.00577095,24.199461538,-1.22987103226678
"ROU 2000",2000,0.024612635,22442971,3.29551450271761e-21,5594.68489182598,3044.03040877368,54,12.9,71.1634146,0.489205586,0.46996,1140,1040,-100,0.695800018,0.081875801,2.51158412,43.728613291,1.11820438001371
"UKR 2000",2000,0.059,49176500,2.72232950421057e-22,740.592891769361,2634.28688417056,35,39.1,67.6756098,0.465490581,0.32855,1540,780,-760,0.491500015,0.113589697,9.04622375,45.639685616,-0.733286420872016
"SVK 2000",2000,0.011665291,5388720,1.86878146332498e-19,207.117589444184,5920.33494137161,8,14.2,73.0512195,0.485566121,0.43767,980,1020,40,0.729000015,0.073234301,2.38923975,18.779970016,-0.0152876886954853
"HRV 2000",2000,0.028955005,4468302,2.44447398241442e-19,964.489761930057,4989.25022949506,11,20.8,72.8078049,0.481393608,0.46572,1120,980,-140,0.698600006,0.0725545888883216,2.28090084,8273.88121965,2.35917180162108
"SVN 2000",2000,0.036723715,1988925,2.57880709688484e-18,37.3541912992526,3044.03040877368,12,32,75.4121951,0.489006948,0.49246,930,910,-20,1.13760002,0.124127310230397,1.81112939,165.767939959,3.73141405410434
"BGR 2000",2000,0.045872253,8170172,2.42876625260723e-20,3072.04777841347,5046.71567348198,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0912120130859524,4.15106319,45.372361803,0.609762402809733
