"","Year","Growth.O","Popultion.O","GDP.O","X..1.90.O","Malnourished.O","Maternal.Mortality.O","Suicide.Mortality.O","Life.Expectancy.O","X..Male.O","X..Rural.O","Death.Rate.O","Birth.Rate.O","Natural.Increase.O","X..Crop.Production.O","Education.Budget.O","Homicide.O","Pop.p100k"
"DEU 2000",2000,0.02912503,82211508,2.36947604829241e-05,0,3044.03040877368,7,14.5,77.9268293,0.486978833,0.25035,1020,930,-90,1.01290001,0.0962541998204827,1.6756575,8.3782875
"GBR 2000",2000,0.036723691,58892514,2.82909724994929e-05,200,3044.03040877368,10,8.6,77.7414634,0.487270088,0.21349,1030,1150,120,0.988199997,0.118479996,1.55286605,4.65859815
"FRA 2000",2000,0.039236692,60912500,2.24196948245434e-05,0,3044.03040877368,10,20.2,79.0560976,0.485052959,0.24129,890,1330,440,1.02400002,0.096861805182349,1.78090038,5.34270114
"ITA 2000",2000,0.037869551,56942108,2.01375912180842e-05,1200,3044.03040877368,4,7.5,79.7780488,0.483922385,0.32778,980,950,-30,1.1625,0.092210598,1.35115642,5.40462568
"ESP 2000",2000,0.052459947,40567864,1.47496874250022e-05,500,3044.03040877368,5,8.6,78.9658537,0.490907169,0.23738,890,980,90,0.948099976,0.106530304,1.35457062,4.06371186
"NLD 2000",2000,0.041956425,15925513,2.62144985470798e-05,66.575889517269,3044.03040877368,13,9.6,77.9878049,0.495331337,0.23205,880,1300,420,0.965299988,0.110814896,1.13021396,3.39064188
"CHE 2000",2000,0.039764092,7184250,3.88650219438355e-05,0,3044.03040877368,7,20.2,79.6804878,0.48858249,0.26617,870,1090,220,1.22279999,0.144521599,0.96587737,0.96587737
"SWE 2000",2000,0.047663489,8872109,2.96249126785976e-05,0,3044.03040877368,5,15.1,79.6439024,0.494532655,0.15974,1050,1020,-30,0.915800018,0.129130201,1.08088122,2.16176244
"BEL 2000",2000,0.037166794,10251250,2.30988865065236e-05,300,3044.03040877368,8,22,77.7219512,0.489671025,0.02871,1020,1140,120,0.969499969,0.116544145039526,2.06184645,6.18553935
"AUT 2000",2000,0.033757221,8011566,2.46256007252515e-05,200,3044.03040877368,6,19.9,78.1268293,0.485347632,0.39787,960,980,20,1.00959999,0.110332203,1.01620021,2.03240042
"POL 2000",2000,0.045610259,38258629,4.50145406674139e-06,550.794467430209,3044.03040877368,7,17,73.7487805,0.485471824,0.38284,960,990,30,1.01970001,0.115834398,2.21751349,37.69772933
"DNK 2000",2000,0.037468626,5339616,3.07435476820805e-05,0,3044.03040877368,8,15.6,76.5926829,0.494813705,0.149,1090,1260,170,0.917200012,0.153441496,1.08589993,2.17179986
"GRC 2000",2000,0.039197709,10805808,1.2072929354288e-05,500,3044.03040877368,13.3988095238095,3.5,77.8878049,0.497047808,0.27284,970,960,-10,1.10360001,0.069577699,1.1930250467105,3.5790751401315
"FIN 2000",2000,0.057733625,5176209,2.43459148191273e-05,0,3044.03040877368,6,24.3,77.4658537,0.488165178,0.17817,950,1100,150,1.08699997,0.121709204,2.85276293,2.85276293
