Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2000,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,10,0,0,10
2000,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,375,695,460,1055,2585
2000,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,5,0,0,5
2000,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,25,35,1480,395,1935
2000,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,415,0,85,500
2000,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,65,45,760,570,1440
2000,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,240,0,90,330
2000,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,70,200,205,220,695
2000,Bangladesh,BGD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,290,0,35,325
2000,Bangladesh,BGD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,20,35,560,310,925
2000,China,CHN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,165,0,45,210
2000,China,CHN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,40,130,3665,1815,5650
2000,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,610,0,75,685
2000,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,145,180,610,380,1315
2000,Colombia,COL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,180,0,10,190
2000,Colombia,COL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,60,60,1600,175,1895
2000,Czechia,CZE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,10,10,1565,210,1795
2000,Ecuador,ECU,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,100,0,5,105
2000,Ecuador,ECU,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,25,20,490,165,700
2000,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,390,0,30,420
2000,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,40,80,220,135,475
2000,Gambia,GMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,30,0,5,35
2000,Gambia,GMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,5,10,15,15,45
2000,Ghana,GHA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,90,0,35,125
2000,Ghana,GHA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,40,35,155,70,300
2000,"Cote d'Ivoire",CIV,"United Kingdom of Great Britain and Northern Ireland",GBR,G,BL,C,0,70,0,5,75
2000,"Cote d'Ivoire",CIV,"United Kingdom of Great Britain and Northern Ireland",GBR,G,FI,C,15,15,90,175,295
