"","Country","Year","Land.Locked.Developing.Countries..LLDC...O","Economic.Growth..from.prior.year...O","Population..O","GPD.LCU..Trillions...O","X....1.90.a.day..O","X..of.Famine..O","Maternal.Mortality..Deaths...O","Maternal.Mortality.per.100k..O","Suicide.Mortality.per.100k..O","Life.Expectancy..Year...O","X..Male..Pop...O","X..Rural.Population..O","Death.Rate..Crude..per.100k..O","Birth.Rate..Crude..Per.100k.O","Natural.Increase..Crude..per.100k..O","X..Crop.Production.to..1416..O","Gov.Education.Budget....of...O","Homicide.P100k..O","Pop.p100k"
"SRB 2000","SRB",2000,0,0.061,7516346,2.61,1.13686837721616e-13,0,15,13,23,72,0.49,0.47,1380,980,400,0,0,2.4,124.8
"RUS 2000","RUS",2000,0,0.1,146596869,48.91,3100,0,740,56,54,65,0.47,0.27,1530,870,660,0.63,0.09,28.07,1487.71
"ALB 2000","ALB",2000,0,0.069,3089027,0.720000000000001,1.13686837721616e-13,0,12,23,5,74,0.51,0.58,591.4,1643.6,1052.2,0.52,0.1,4.19,96.37
"BIH 2000","BIH",2000,0,0.128,3751176,0.0199999999999996,1.13686837721616e-13,0,7,17,9,74,0.49,0.58,828.9,1098.3,269.4,0.68,0,2.64,108.24
"BGR 2000","BGR",2000,0,0.046,8170172,0.0500000000000007,1.13686837721616e-13,0,13,19,18,72,0.49,0.31,1410,900,510,0.68,0,4.15,95.45
"EST 2000","EST",2000,0,0.101,1396985,0.00999999999999979,1.13686837721616e-13,0,4,29,29,70,0.47,0.31,1320,940,380,0.74,0.15,10.22,112.42
"ROU 2000","ROU",2000,0,0.025,22442971,0.220000000000001,1.13686837721616e-13,0,120,54,13,71,0.49,0.47,1140,1040,100,0.7,0.08,2.51,75.3
"UKR 2000","UKR",2000,0,0.059,49176500,1.79,1.13686837721616e-13,0,140,35,39,68,0.47,0.33,1540,780,760,0.49,0.11,9.05,226.25
"AUT 2000","AUT",2000,0,0.034,8011566,0.279999999999999,200,0,5,6,20,78,0.49,0.4,960,980,20,1.01,0.11,1.02,2.04
"BLR 2000","BLR",2000,0,0.058,9979610,0.0399999999999991,7300,0,19,22,42,69,0.47,0.3,1350,940,410,0.82,0,10.26,153.9
"CZE 2000","CZE",2000,0,0.04,10255063,3.11,1.13686837721616e-13,0,6,7,16,75,0.49,0.26,1060,890,170,0.92,0.09,1.86,26.04
"FRA 2000","FRA",2000,0,0.039,60912500,1.84,1.13686837721616e-13,0,73,10,20,79,0.49,0.24,890,1330,440,1.02,0,1.78,5.34
"GBR 2000","GBR",2000,0,0.037,58892514,1.51,200,0,73,10,9,78,0.49,0.21,1030,1150,120,0.99,0.12,1.55,4.65
"DEU 2000","DEU",2000,0,0.029,82211508,2.56,1.13686837721616e-13,0,53,7,15,78,0.49,0.25,1020,930,90,1.01,0,1.68,8.4
"HRV 2000","HRV",2000,0,0.029,4468302,0.27,1.13686837721616e-13,0,5,11,21,73,0.48,0.47,1120,980,140,0.7,0,2.28,57
"HUN 2000","HUN",2000,0,0.045,10210971,25.59,1.13686837721616e-13,0,16,16,33,71,0.48,0.35,1330,960,370,0.76,0.1,2.01,22.11
"ITA 2000","ITA",2000,0,0.038,56942108,1.66,1200,0,19,4,8,80,0.48,0.33,980,950,30,1.16,0.09,1.35,5.4
"LTU 2000","LTU",2000,0,0.037,3499536,0.0199999999999996,1.13686837721616e-13,0,5,17,50,72,0.47,0.33,1110,980,130,0.68,0,10.57,126.84
"LVA 2000","LVA",2000,0,0.057,2367550,0.00999999999999979,1.13686837721616e-13,0,7,34,35,70,0.46,0.32,1360,860,500,0.5,0.15,9.98,79.84
"MKD 2000","MKD",2000,1,0.045,2026350,0.279999999999999,1.13686837721616e-13,0,3.00000000000001,13,9,73,0.5,0.41,850,1450,600,0.82,0,2.31,43.89
"MDA 2000","MDA",2000,1,0.021,2923783,0.0500000000000007,35100,0,21,44,17,67,0.48,0.55,1171.5,1129.8,41.7,0.84,0.13,10.3,175.1
"POL 2000","POL",2000,0,0.046,38258629,1.06,1.13686837721616e-13,0,26,7,17,74,0.49,0.38,960,990,30,1.02,0.12,2.22,37.74
