Year,Country of origin,Country of origin (ISO),Continent of Origin,In EU?,Life Expectancy (Year) - O ,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,% Crop Production to '14-16 - A,Country of asylum,Continent of asylum,Population - A,Gov Education Budget (% of) - A,Life Expectancy (Year) - A,% Male (Pop) - Difference,% <$1.90 a day - A,GDP LCU (T) Difference,Distance (KM),Decisions % - O,Decisions Per 100k
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.61,Argentina,Americas,36870796,0.16,73.58,1,0.07,0.11,11934.42284,0,0.06
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.85,Australia,Oceania,19153000,0.13,79.23,0.98,0,0.05,15341.19566,0,0.87
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.85,Australia,Oceania,19153000,0.13,79.23,0.98,0,2.68,15341.19566,0,0.08
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,1.01,Austria,Europe,8011566,0.11,78.13,1,0,0.19,817.6732131,0,0.76
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,1.01,Austria,Europe,8011566,0.11,78.13,1,0,11.07,817.6732131,0,0.1
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.97,Belgium,Europe,10251250,0,77.72,1,0,0.16,1697.88075,0,0.24
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.97,Belgium,Europe,10251250,0,77.72,0.99,0,9.42,1697.88075,0,0.05
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.69,Canada,Americas,30685730,0.13,79.14,0.98,0,0.04,7370.872821,0,10.43
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.69,Canada,Americas,30685730,0.13,79.14,0.98,0,2.32,7370.872821,0,6.55
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.92,Czechia,Europe,10255063,0.09,74.97,1,0,0.02,1065.247966,0,1.73
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.92,Denmark,Europe,5339616,0.15,76.59,0.98,0,0.03,1637.045717,0,0.15
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,1.09,Finland,Europe,5176209,0.12,77.47,1,0,0.3,1946.016699,0,0.32
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,1.02,France,Europe,60912500,0,79.06,1,0,0.03,1757.706739,0,1.58
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.99,United Kingdom of Great Britain and Northern Ireland,Europe,58892514,0.12,77.74,1,0,0.04,2014.51223,0,0.24
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.99,United Kingdom of Great Britain and Northern Ireland,Europe,58892514,0.12,77.74,1,0,2.05,2014.51223,0,0.2
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,1.01,Germany,Europe,82211508,0,77.93,1,0,0.02,1318.842173,0,0.15
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,1.01,Germany,Europe,82211508,0,77.93,1,0,1.22,1318.842173,0,0.21
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.97,Ireland,Europe,3805174,0.14,76.54,0.98,0,21.76,2474.021957,0,0.05
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,1.16,Italy,Europe,56942108,0.09,79.78,1.01,0.01,0.03,894.8012282,0,0.22
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.51,Morocco,Africa,28793672,0,68.68,0.98,0.06,0.12,2783.712218,0,0.11
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.51,Morocco,Africa,28793672,0,68.68,0.98,0.06,6.78,2783.712218,0,0.14
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.97,Netherlands,Europe,15925513,0.11,77.99,0.98,0,0.09,1744.506693,0,1.22
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.97,Netherlands,Europe,15925513,0.11,77.99,0.98,0,5.35,1744.506693,0,1.33
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.95,Norway,Europe,4490967,0.16,78.63,0.98,0,0.02,2096.33555,0,0.15
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.78,New Zealand,Oceania,3857700,0,78.64,0.99,0,18.19,17661.60686,0,0.05
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.61,Peru,Americas,26459944,0.15,71.11,0.98,0.16,0.24,11753.84987,0,0.11
2000,Czechia,CZE,Europe,0,74.97,0.11,8.9,0.61,Peru,Americas,26459944,0.15,71.11,0.98,0.16,13.98,11753.84987,0,0.05
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.9,South Africa,Africa,44967713,0,56.05,0.99,0.35,0.02,7626.797457,0,2.7
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.95,Spain,Europe,40567864,0.11,78.97,0.99,0.01,0.06,2253.318067,0,0.06
2000,Bulgaria,BGR,Europe,0,71.66,0.14,9,0.73,Slovakia,Europe,5388720,0.07,73.05,1,0,1.24,775.8801287,0,0.1
