Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC) - O,Land Locked Developing Countries (LLDC) - O,Small Island Developing States (SIDS) - O,Economic Growth (from prior year) - O,Population - O,GPD LCU (Trillions) - O,% <$1.90 a day - O,% of Famine - O,Maternal Mortality (Deaths) - O,Maternal Mortality per 100k - O ,Suicide Mortality per 100k - O,Life Expectancy (Year) - O ,% Male (Pop) - O ,% Rural Population - O,Death Rate (Crude) per 1k - O ,Birth Rate (Crude) Per 1k- O,Natural Increase (Crude) per 1k - O,% Crop Production to '14-16 - O,Gov Education Budget (% of) - O,Country of asylum,Country of asylum (ISO),Continent of asylum,Least Developed Countries (LDC) - A,Land Locked Developing Countries (LLDC) - A,Small Island Developing States (SIDS) - A,Economic Growth (from prior year) - A,Population - A,GPD LCU (Trillions) - A,% <$1.90 a day - A,% of Famine - A,Maternal Mortality (Deaths) - A,Maternal Mortality per 100k - A,Suicide Mortality per 100k - A,Life Expectancy (Year) - A,% Male (Pop) - A,% Rural Population - A,Death Rate (Crude) per 1k - A,Birth Rate (Crude) Per 1k - A,Natural Increase (Crude) per 1k - A,% Crop Production to '14-16 - A,Gov Education Budget (% of) - A,Continent Move,LDC to LDC,LDC to MDC,MDC to LDC,MDC to MDC,To LDC,To MDC,Economic Growth difference,Population - Difference,GDP LCU (T) Difference,% <$1.90 a day - Difference,% of Famine - Difference,Maternal Mortality (Deaths) - Difference,Maternal Mortality per 100k - Difference,Suicide Mortality per 100k - Difference,Life Expectancy (Year) - Difference,% Male (Pop) - Difference,% Rural Population - Difference,Death Rate (Crude) per 1k - Difference,Birth Rate (Crude) Per 1k - Difference,Natural Increase (Crude) per 1k - Difference,% Crop Production to '14-16 - Difference,Gov Education Budget (% of) - Difference,Distance (KM),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,hst,Others of concern,Total decisions,Decisions Per 100k,Decisions % - O
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Argentina,ARG,Americas,0,0,0,-0.01,36870796,0.48,0.07,0,480,66,9.1,73.58,0.49,0.11,0.08,19.5,19.42,0.61,0.16,Europe to Americas,0,0,0,1,0,1,0.05,0.22,0.11,-0.07,0,-467,0.29,2,0.97,1,2.86,1.8,0.46,0.46,1.11,-0.16,"11,934",0,5,0,,0,0,0,5,0.06,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Australia,AUS,Oceania,0,0,0,0.04,19153000,1.16,0,0,17,7,12.7,79.23,0.5,0.16,0.07,13,12.93,0.85,0.13,Europe to Oceania,0,0,0,1,0,1,0.01,0.43,0.05,0,0,-4,2.71,1.43,0.9,0.98,1.97,2.1,0.69,0.68,0.8,-0.13,"15,341",24,47,0,,0,0,0,71,0.87,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Australia,AUS,Oceania,0,0,0,0.04,19153000,1.16,0,0,17,7,12.7,79.23,0.5,0.16,0.07,13,12.93,0.85,0.13,Europe to Oceania,0,0,0,1,0,1,0,0.54,2.68,0,0,-11,1,1.28,0.95,0.98,1.65,1.58,0.68,0.68,1.09,-0.04,"15,341",8,0,0,,0,0,0,8,0.08,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Austria,AUT,Europe,0,0,0,0.03,8011566,0.28,0,0,5,6,19.9,78.13,0.49,0.4,0.1,9.8,9.7,1.01,0.11,Europe to Europe,0,0,0,1,0,1,0.01,1.02,0.19,0,0,8,3.17,0.91,0.92,1,0.78,1.47,0.92,0.91,0.67,-0.11,818,62,0,0,,0,0,0,62,0.76,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Austria,AUT,Europe,0,0,0,0.03,8011566,0.28,0,0,5,6,19.9,78.13,0.49,0.4,0.1,9.8,9.7,1.01,0.11,Europe to Europe,0,0,0,1,0,1,0.01,1.28,11.07,0,0,1,1.17,0.82,0.96,1,0.65,1.1,0.91,0.91,0.91,-0.02,818,10,0,0,,0,0,0,10,0.1,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Belgium,BEL,Europe,0,0,0,0.04,10251250,0.33,0,0,9,8,22,77.72,0.49,0.03,0.1,11.4,11.3,0.97,0,Europe to Europe,0,0,0,1,0,1,0.01,0.8,0.16,0,0,4,2.38,0.83,0.92,1,10.83,1.38,0.79,0.78,0.7,0,"1,698",20,0,0,,0,0,0,20,0.24,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Belgium,BEL,Europe,0,0,0,0.04,10251250,0.33,0,0,9,8,22,77.72,0.49,0.03,0.1,11.4,11.3,0.97,0,Europe to Europe,0,0,0,1,0,1,0,1,9.42,0,0,-3,0.88,0.74,0.96,0.99,9.06,1.04,0.78,0.78,0.95,0.09,"1,698",5,0,0,,0,0,0,5,0.05,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Canada,CAN,Americas,0,0,0,0.05,30685730,1.34,0,0,31,9,11.9,79.14,0.5,0.21,0.07,10.7,10.63,0.69,0.13,Europe to Americas,0,0,0,1,0,1,0,0.27,0.04,0,0,-18,2.11,1.53,0.91,0.98,1.52,1.99,0.84,0.83,0.98,-0.13,"7,371",588,264,0,,0,0,0,852,10.43,0
2000,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Canada,CAN,Americas,0,0,0,0.05,30685730,1.34,0,0,31,9,11.9,79.14,0.5,0.21,0.07,10.7,10.63,0.69,0.13,Europe to Americas,0,0,0,1,0,1,-0.01,0.33,2.32,0,0,-25,0.78,1.37,0.95,0.98,1.27,1.49,0.83,0.83,1.34,-0.04,"7,371",625,47,0,,0,0,0,672,6.55,0
2000,Bulgaria,BGR,Europe,0,0,0,0.05,8170172,0.05,0,0,13,19,18.2,71.66,0.49,0.31,0.14,9,8.86,0.68,0,Czechia,CZE,Europe,0,0,0,0.04,10255063,3.11,0,0,6,7,16.3,74.97,0.49,0.26,0.11,8.9,8.79,0.92,0.09,Europe to Europe,0,0,0,1,0,1,0.01,0.8,0.02,0,0,7,2.71,1.12,0.96,1,1.2,1.33,1.01,1.01,0.73,-0.09,"1,065",38,103,0,,0,0,0,141,1.73,0
