Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Economic Growth (from prior year),Population,% <$1.90 a day,% of Famine,Maternal Mortality (Deaths),Maternal Mortality per 100k,Suicide Mortality per 100k,Life Expectancy (Year),% Male (Pop),% Rural Population,Death Rate (Crude) per 1k,Birth Rate (Crude) Per 1k,Natural Increase (Crude) per 1k,% Crop Production to '14-16 ,Gov Education Budget (% of),Country of asylum,Country of asylum (ISO),Authority,Stage of procedure,Cases / Persons,Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 49,176,500 ",0.0%,0.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Australia,AUS,G,AR,C,10,0,51,0,61
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 49,176,500 ",0.0%,0.0%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Czechia,CZE,G,AR,C,5,0,39,19,64
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 49,176,500 ",0.0%,0.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Australia,AUS,G,AR,C,5,0,43,10,58
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 49,176,500 ",0.0%,0.0%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Czechia,CZE,G,AR,C,0,0,329,177,506
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 49,176,500 ",0.0%,0.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Australia,AUS,G,AR,C,12,0,130,14,156
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 49,176,500 ",0.0%,0.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Czechia,CZE,G,AR,C,0,0,572,441,1013
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 49,176,500 ",0.0%,0.0%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,65,0,420,30,515
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 49,176,500 ",0.0%,0.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Australia,AUS,G,AR,C,10,0,115,5,130
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 49,176,500 ",0.0%,0.0%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,70,0,415,30,515
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 49,176,500 ",0.0%,0.0%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,35,0,135,10,180
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 49,176,500 ",0.0%,0.0%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Australia,AUS,G,AR,C,5,0,11,0,16
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 49,176,500 ",0.0%,0.0%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,15,0,70,10,95
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 49,176,500 ",0.0%,0.0%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Australia,AUS,G,AR,C,5,0,5,0,10
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 49,176,500 ",0.0%,0.0%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,AR,C,5,0,35,5,40
