"","Country.O","ISO.O","Continent.A","Year","Growth.O","Popultion.O","GDP.O","X..1.90.O","Malnourished.O","Maternal.Mortality.O","Suicide.Mortality.O","Life.Expectancy.O","X..Male.O","X..Rural.O","Death.Rate.O","Birth.Rate.O","Natural.Increase.O","X..Crop.Production.O","Education.Budget.O","Homicide.O","LDC.A","Growth.A","Popultion.A","GDP.A","X..1.90.A","Malnourished.A","Maternal.Mortality.A","Suicide.Mortality.A","Life.Expectancy.A","X..Male.A","X..Rural.A","Death.Rate.A","Birth.Rate.A","Natural.Increase.A","X..Crop.Production.A","Education.Budget.A","Homicide.A","Growth.D","Popultion.D","GDP.D","X..1.90.D","Malnourished.D","Maternal.Mortality.D","Suicide.Mortality.D","Life.Expectancy.D","X..Male.D","X..Rural.D","Death.Rate.D","Birth.Rate.D","Natural.Increase.D","X..Crop.Production.D","Homicide.D","Education.Budget.D","Total"
"2000 CHE to CAN","Switzerland","CHE","Americas",2000,0.039764092,7184250,3.88650219438355e-05,0,3044.03040877368,7,20.2,79.6804878,0.48858249,0.26617,870,1090,220,1.22279999,0.144521599,0.96587737,0.00323904124379184,0.049177627,30685730,2.42710020553528e-05,200,3163.76192867906,9,11.9,79.1365854,0.495361915,0.20522,710,1070,360,0.689000015,0.129826002,1.78499161,-0.009413535,0.234123483,1.60129449353592,-200,-95.6332961171071,0.777777778,1.697478992,1.006872958,0.986314197,1.296998343,1.225352113,1.018691589,0.611111111,1.774745956,0.541110314,0.014695597,0.960434283
"2000 AUT to AUS","Austria","AUT","Oceania",2000,0.033757221,8011566,2.46256007252515e-05,200,3044.03040877368,6,19.9,78.1268293,0.485347632,0.39787,960,980,20,1.00959999,0.110332203,1.01620021,0.00323904124379184,0.039124277,19153000,2.17120703962826e-05,1120.97234227611,2586.03857557658,7,12.7,79.2341463,0.498832474,0.15765,670,1300,630,0.847600021,0.133601599,1.90612252,-0.005367056,0.418293009,1.13418942900387,200,-86.0385755765771,0.857142857,1.566929134,0.98602475,0.972967194,2.523755154,1.432835821,0.753846154,0.031746032,1.191127849,0.533124287,-0.023269396,0.174747359
"2000 AUT to CAN","Austria","AUT","Americas",2000,0.033757221,8011566,2.46256007252515e-05,200,3044.03040877368,6,19.9,78.1268293,0.485347632,0.39787,960,980,20,1.00959999,0.110332203,1.01620021,0.00323904124379184,0.049177627,30685730,2.42710020553528e-05,200,2561.07279448268,9,11.9,79.1365854,0.495361915,0.20522,710,1070,360,0.689000015,0.129826002,1.78499161,-0.015420406,0.261084419,1.01460997238969,0,-61.0727944826845,0.666666667,1.672268908,0.987240338,0.979783906,1.93874866,1.352112676,0.91588785,0.055555556,1.465312,0.569302513,-0.019493799,0.23715713
"2000 BGR to AUS","Bulgaria","BGR","Oceania",2000,0.045872253,8170172,1.62124301789485e-06,2749.4349881379,4701.95377987194,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0981626355301018,4.15106319,0.00323904124379184,0.039124277,19153000,2.17120703962826e-05,5077.7745850498,5360.45532048519,7,12.7,79.2341463,0.498832474,0.15765,670,1300,630,0.847600021,0.133601599,1.90612252,0.006747976,0.426574009,0.074670125340623,-3371.25359156289,-658.501540613248,2.714285714,1.433070866,0.904451148,0.976954879,1.972787821,2.104477612,0.692307692,-0.80952381,0.796956128,2.177752556,-0.052066634220122,0.869014753
"2000 BGR to AUT","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2782.40040759059,4731.27367867344,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0976123725480331,4.15106319,0.00323904124379184,0.033757221,8011566,2.46256007252515e-05,200,5456.8935448967,6,19.9,78.1268293,0.485347632,0.39787,960,980,20,1.00959999,0.110332203,1.01620021,0.012115032,1.019797128,0.0658356738575885,-200,-725.619866223263,3.166666667,0.914572864,0.917270229,1.004098479,0.781687486,1.46875,0.918367347,-25.5,0.669076899,4.08488716,-0.0533756488776905,0.758857953
"2000 BGR to BEL","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2724.67910850449,4679.93555903191,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.09857586382742,4.15106319,0.00323904124379184,0.037166794,10251250,2.30988865065236e-05,300,5288.0335793022,8,22,77.7219512,0.489671025,0.02871,1020,1140,120,0.969499969,0.145174809515074,2.06184645,0.00870546,0.796992757,0.070187063668068,-300,-608.098020270294,2.375,0.827272727,0.922048578,0.995233115,10.83281087,1.382352941,0.789473684,-4.25,0.696750957,2.01327465,-0.0510836098922306,0.244792888
"2000 BGR to CAN","Bulgaria","BGR","Americas",2000,0.045872253,8170172,1.62124301789485e-06,2689.93384580759,4649.03264309702,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0991558361797146,4.15106319,0.00323904124379184,0.049177627,30685730,2.42710020553528e-05,200,5186.38853741187,9,11.9,79.1365854,0.495361915,0.20522,710,1070,360,0.689000015,0.129826002,1.78499161,-0.003305374,0.266253141,0.0667975312349042,-200,-537.355894314852,2.111111111,1.529411765,0.905566171,0.98379953,1.515495566,1.985915493,0.841121495,-1.416666667,0.98040641,2.325536527,-0.0497039199351048,10.42817703
"2000 BGR to CZE","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2817.0592412781,4762.09972345514,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0970338428797762,4.15106319,0.00323904124379184,0.040010286,10255063,6.02903819313446e-06,5447.36753939867,5558.2857442526,7,16.3,74.9682927,0.48647459,0.26012,1060,890,-170,0.922600021,0.089121399,1.85628397,0.005861967,0.796696422,0.268905746813983,-3740.24058255518,-796.186020797465,2.714285714,1.116564417,0.955916322,1.001772403,1.195640474,1.330188679,1.011235955,3,0.732169971,2.236222074,-0.0547519068493598,1.725789861
"2000 BGR to DNK","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2766.43667005729,4717.07531030013,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0978788412890919,4.15106319,0.00323904124379184,0.037468626,5339616,3.07435476820805e-05,0,5410.19265262102,8,15.6,76.5926829,0.494813705,0.149,1090,1260,170,0.917200012,0.153441496,1.08589993,0.008403627,1.530104787,0.0527344155157417,0,-693.11734232089,2.375,1.166666667,0.935643091,0.984889494,2.087315436,1.293577982,0.714285714,-3,0.736480617,3.82269404,-0.0527417492711451,0.146875733
"2000 BGR to FIN","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2764.24580118117,4715.12672129985,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0979154115515399,4.15106319,0.00323904124379184,0.057733625,5176209,2.43459148191273e-05,0,5403.78340596683,6,24.3,77.4658537,0.488165178,0.17817,950,1100,150,1.08699997,0.121709204,2.85276293,-0.011861371,1.578408445,0.0665919941780592,0,-688.65668466698,3.166666667,0.748971193,0.925096816,0.998303118,1.745580064,1.484210526,0.818181818,-3.4,0.621435188,1.455102752,-0.0526547526692737,0.318230755
"2000 BGR to FRA","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2802.87406564854,4749.48323257332,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0972706236389074,4.15106319,0.00323904124379184,0.039236692,60912500,2.24196948245434e-05,0,5516.78792097621,10,20.2,79.0560976,0.485052959,0.24129,890,1330,440,1.02400002,0.146269462917224,1.78090038,0.006635561,0.134129645,0.0723133401494848,0,-767.304688402889,1.9,0.900990099,0.906488137,1.004708476,1.28894691,1.584269663,0.676691729,-1.159090909,0.659667986,2.33087894,-0.0541886316619799,1.578914128
"2000 BGR to GBR","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2752.56446533,4704.73718005606,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0981103978980427,4.15106319,0.00323904124379184,0.036723691,58892514,2.82909724994929e-05,200,5369.61040568518,10,8.6,77.7414634,0.487270088,0.21349,1030,1150,120,0.988199997,0.118479996,1.55286605,0.009148562,0.13873023,0.0573060193644425,-200,-664.873225629125,1.9,2.11627907,0.921817155,1.000136949,1.456789545,1.368932039,0.782608696,-4.25,0.683566113,2.673162434,-0.0521909017581362,0.244792888
"2000 BGR to DEU","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2731.24909855035,4685.77899880819,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0984661967164042,4.15106319,0.00323904124379184,0.02912503,82211508,2.36947604829241e-05,0,5307.2536646202,7,14.5,77.9268293,0.486978833,0.25035,1020,930,-90,1.01290001,0.145266782990327,1.6756575,0.016747224,0.099379907,0.068422004901177,0,-621.474665812016,2.714285714,1.255172414,0.919624412,1.000735117,1.242300779,1.382352941,0.967741935,5.666666667,0.666897052,2.477274258,-0.0513444957966995,0.146875733
"2000 BGR to ITA","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2747.54834188883,4700.27577067275,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.098194127669694,4.15106319,0.00323904124379184,0.037869551,56942108,2.01375912180842e-05,1200,5354.9360576524,4,7.5,79.7780488,0.483922385,0.32778,980,950,-30,1.1625,0.092210598,1.35115642,0.008002702,0.143482078,0.0805082892157888,-1200,-654.660286979651,4.75,2.426666667,0.898284875,1.007055747,0.948837635,1.43877551,0.947368421,17,0.581075295,3.072229927,-0.0519917179097981,0.220313599
"2000 BGR to NLD","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2791.57610995876,4739.43467493359,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0974592105549047,4.15106319,0.00323904124379184,0.041956425,15925513,2.62144985470798e-05,5308.09227419394,5483.7364748156,13,9.6,77.9878049,0.495331337,0.23205,880,1300,420,0.965299988,0.110814896,1.13021396,0.003915828,0.513024102,0.0618452805794926,-3601.19366506704,-744.301799882012,1.461538462,1.895833333,0.918905394,0.983860262,1.340271493,1.602272727,0.692307692,-1.214285714,0.699782492,3.672811819,-0.0537400042868692,1.22396444
"2000 BGR to NOR","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2767.591693799,4718.10260434894,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0978595614856182,4.15106319,0.00323904124379184,0.032049792,4490967,3.81314606186151e-05,200,5413.5716006415,6,13.9,78.6341463,0.495404584,0.2398,980,1320,340,0.954800034,0.156301899,1.06681484,0.013822461,1.81924561,0.0425172021106212,-200,-695.468996292561,3.166666667,1.309352518,0.911352357,0.983714796,1.296955796,1.43877551,0.681818182,-1.5,0.707478013,3.891081221,-0.0527876137871393,0.146875733
"2000 BGR to ESP","Bulgaria","BGR","Europe",2000,0.045872253,8170172,1.62124301789485e-06,2714.91474027155,4671.2509952313,19,18.2,71.6634146,0.487336819,0.31101,1410,900,-510,0.675500031,0.0987388519061729,4.15106319,0.00323904124379184,0.052459947,40567864,1.47496874250022e-05,500,5259.46854507786,5,8.6,78.9658537,0.490907169,0.23738,890,980,90,0.948099976,0.106530304,1.35457062,-0.006587693,0.201395173,0.109917110185446,-500,-588.217549846564,3.8,2.11627907,0.907524091,0.992727036,1.310177774,1.584269663,0.918367347,-5.666666667,0.712477637,3.064486361,-0.0506958793142178,0.061198222
